,Timestamp,Year,Month,Day,Hour Ending,Maximum energy deliverable before curtailment (MWh),Energy actually delivered (MWh),Curtailment (MWh),Price ($/MWh) at the nodal level in the Real Time market,Date,Battery_Charging,Battery_Discharging,Battery_Level,Battery_Revenue,Battery_Cost,Fixed_Cost,Charging_Source
0,2023-01-01 01:00:00,2023,2023-01,1,1,52.7,52.7,0,25.93,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
1,2023-01-01 02:00:00,2023,2023-01,1,2,41.1,41.1,0,21.98,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
2,2023-01-01 03:00:00,2023,2023-01,1,3,39.6,39.6,0,23.3,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
3,2023-01-01 04:00:00,2023,2023-01,1,4,43.2,43.2,0,21.4,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
4,2023-01-01 05:00:00,2023,2023-01,1,5,34.8,34.8,0,22.16,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
5,2023-01-01 06:00:00,2023,2023-01,1,6,65.3,65.3,0,21.32,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
6,2023-01-01 07:00:00,2023,2023-01,1,7,109.0,91.0,18,18.64,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
7,2023-01-01 08:00:00,2023,2023-01,1,8,67.5,49.5,18,18.81,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,
8,2023-01-01 09:00:00,2023,2023-01,1,9,65.9,47.9,18,18.17,2023-01-01,18.0,0.0,17.099999999999998,0.0,0.0,468.0,Curtailment
9,2023-01-01 10:00:00,2023,2023-01,1,10,44.3,26.3,18,16.68,2023-01-01,18.0,0.0,34.199999999999996,0.0,0.0,468.0,Curtailment
10,2023-01-01 11:00:00,2023,2023-01,1,11,28.7,10.7,18,17.76,2023-01-01,18.0,0.0,51.3,0.0,0.0,468.0,Curtailment
11,2023-01-01 12:00:00,2023,2023-01,1,12,21.0,3.0,18,17.24,2023-01-01,18.0,0.0,68.39999999999999,0.0,0.0,468.0,Curtailment
12,2023-01-01 13:00:00,2023,2023-01,1,13,18.8,0.8,18,20.03,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
13,2023-01-01 14:00:00,2023,2023-01,1,14,18.0,0.0,18,20.09,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
14,2023-01-01 15:00:00,2023,2023-01,1,15,0.0,0.0,0,23.43,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
15,2023-01-01 16:00:00,2023,2023-01,1,16,0.0,0.0,0,22.98,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
16,2023-01-01 17:00:00,2023,2023-01,1,17,0.0,0.0,0,25.41,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
17,2023-01-01 18:00:00,2023,2023-01,1,18,0.0,0.0,0,25.26,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
18,2023-01-01 19:00:00,2023,2023-01,1,19,0.0,0.0,0,24.97,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
19,2023-01-01 20:00:00,2023,2023-01,1,20,0.0,0.0,0,25.19,2023-01-01,0.0,0.0,68.39999999999999,0.0,0.0,0.0,
20,2023-01-01 21:00:00,2023,2023-01,1,21,0.0,0.0,0,26.81,2023-01-01,0.0,68.39999999999999,3.4200000000000017,1833.8039999999996,0.0,0.0,
21,2023-01-01 22:00:00,2023,2023-01,1,22,0.0,0.0,0,26.43,2023-01-01,0.0,3.4200000000000017,0.17100000000000026,90.39060000000005,0.0,0.0,
22,2023-01-01 23:00:00,2023,2023-01,1,23,0.0,0.0,0,34.7,2023-01-01,0.0,0.17100000000000026,0.00855000000000003,5.93370000000001,0.0,0.0,
23,2023-02-01 00:00:00,2023,2023-02,1,24,0.0,0.0,0,32.56,2023-02-01,0.0,0.0,0.00855000000000003,0.0,0.0,0.0,
24,2023-02-01 01:00:00,2023,2023-02,2,1,0.0,0.0,0,32.55,2023-02-01,0.0,0.0,0.00855000000000003,0.0,0.0,0.0,
25,2023-02-01 02:00:00,2023,2023-02,2,2,0.2,0.2,0,26.62,2023-02-01,0.0,0.0,0.00855000000000003,0.0,0.0,0.0,
26,2023-02-01 03:00:00,2023,2023-02,2,3,3.8,3.8,0,33.8,2023-02-01,0.0,0.00855000000000003,0.00042750000000000253,0.28899000000000097,0.0,0.0,
27,2023-02-01 04:00:00,2023,2023-02,2,4,5.0,5.0,0,25.65,2023-02-01,0.0,0.0,0.00042750000000000253,0.0,0.0,0.0,
28,2023-02-01 05:00:00,2023,2023-02,2,5,0.1,0.1,0,25.73,2023-02-01,0.0,0.0,0.00042750000000000253,0.0,0.0,0.0,
29,2023-02-01 06:00:00,2023,2023-02,2,6,0.0,0.0,0,22.54,2023-02-01,1800.0,0.0,1710.0004275,0.0,40572.0,46800.0,Grid
30,2023-02-01 07:00:00,2023,2023-02,2,7,0.0,0.0,0,21.91,2023-02-01,1800.0,0.0,3420.0004275,0.0,39438.0,46800.0,Grid
31,2023-02-01 08:00:00,2023,2023-02,2,8,0.0,0.0,0,20.6,2023-02-01,1800.0,0.0,5130.0004275,0.0,37080.0,46800.0,Grid
32,2023-02-01 09:00:00,2023,2023-02,2,9,0.0,0.0,0,21.79,2023-02-01,1800.0,0.0,6840.0004275,0.0,39222.0,46800.0,Grid
33,2023-02-01 10:00:00,2023,2023-02,2,10,3.1,3.1,0,22.63,2023-02-01,0.0,0.0,6840.0004275,0.0,0.0,0.0,
34,2023-02-01 11:00:00,2023,2023-02,2,11,0.0,0.0,0,26.72,2023-02-01,0.0,0.0,6840.0004275,0.0,0.0,0.0,
35,2023-02-01 12:00:00,2023,2023-02,2,12,0.0,0.0,0,53.31,2023-02-01,0.0,1800.0,5130.0004275,95958.0,0.0,0.0,
36,2023-02-01 13:00:00,2023,2023-02,2,13,0.0,0.0,0,28.91,2023-02-01,0.0,0.0,5130.0004275,0.0,0.0,0.0,
37,2023-02-01 14:00:00,2023,2023-02,2,14,0.0,0.0,0,25.16,2023-02-01,0.0,0.0,5130.0004275,0.0,0.0,0.0,
38,2023-02-01 15:00:00,2023,2023-02,2,15,2.5,2.5,0,25.82,2023-02-01,0.0,0.0,5130.0004275,0.0,0.0,0.0,
39,2023-02-01 16:00:00,2023,2023-02,2,16,7.9,7.9,0,48.52,2023-02-01,0.0,1800.0,3420.0004275,87336.0,0.0,0.0,
40,2023-02-01 17:00:00,2023,2023-02,2,17,16.9,16.9,0,33.61,2023-02-01,0.0,0.0,3420.0004275,0.0,0.0,0.0,
41,2023-02-01 18:00:00,2023,2023-02,2,18,22.7,22.7,0,39.98,2023-02-01,0.0,1800.0,1710.0004275000001,71964.0,0.0,0.0,
42,2023-02-01 19:00:00,2023,2023-02,2,19,14.3,14.3,0,32.21,2023-02-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
43,2023-02-01 20:00:00,2023,2023-02,2,20,13.4,13.4,0,29.65,2023-02-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
44,2023-02-01 21:00:00,2023,2023-02,2,21,29.6,29.6,0,27.09,2023-02-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
45,2023-02-01 22:00:00,2023,2023-02,2,22,44.5,44.5,0,30.66,2023-02-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
46,2023-02-01 23:00:00,2023,2023-02,2,23,41.2,41.2,0,26.46,2023-02-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
47,2023-03-01 00:00:00,2023,2023-03,2,24,36.2,36.2,0,28.78,2023-03-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
48,2023-03-01 01:00:00,2023,2023-03,3,1,56.7,56.7,0,29.02,2023-03-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
49,2023-03-01 02:00:00,2023,2023-03,3,2,75.7,75.7,0,26.73,2023-03-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
50,2023-03-01 03:00:00,2023,2023-03,3,3,96.2,78.2,18,18.33,2023-03-01,0.0,0.0,1710.0004275000001,0.0,0.0,0.0,
51,2023-03-01 04:00:00,2023,2023-03,3,4,93.7,75.7,18,14.59,2023-03-01,18.0,0.0,1727.1004275,0.0,0.0,468.0,Curtailment
52,2023-03-01 05:00:00,2023,2023-03,3,5,85.7,67.7,18,19.38,2023-03-01,0.0,0.0,1727.1004275,0.0,0.0,0.0,
53,2023-03-01 06:00:00,2023,2023-03,3,6,108.9,90.9,18,18.99,2023-03-01,0.0,0.0,1727.1004275,0.0,0.0,0.0,
54,2023-03-01 07:00:00,2023,2023-03,3,7,123.1,105.1,18,18.18,2023-03-01,0.0,0.0,1727.1004275,0.0,0.0,0.0,
55,2023-03-01 08:00:00,2023,2023-03,3,8,126.8,108.8,18,17.77,2023-03-01,18.0,0.0,1744.2004275,0.0,0.0,468.0,Curtailment
56,2023-03-01 09:00:00,2023,2023-03,3,9,103.2,85.2,18,17.9,2023-03-01,0.0,0.0,1744.2004275,0.0,0.0,0.0,
57,2023-03-01 10:00:00,2023,2023-03,3,10,45.2,27.2,18,14.68,2023-03-01,18.0,0.0,1761.3004274999998,0.0,0.0,468.0,Curtailment
58,2023-03-01 11:00:00,2023,2023-03,3,11,47.6,29.6,18,17.89,2023-03-01,18.0,0.0,1778.4004274999998,0.0,0.0,468.0,Curtailment
59,2023-03-01 12:00:00,2023,2023-03,3,12,41.1,41.1,0,22.81,2023-03-01,0.0,0.0,1778.4004274999998,0.0,0.0,0.0,
60,2023-03-01 13:00:00,2023,2023-03,3,13,41.4,41.4,0,29.97,2023-03-01,0.0,0.0,1778.4004274999998,0.0,0.0,0.0,
61,2023-03-01 14:00:00,2023,2023-03,3,14,24.5,24.5,0,26.62,2023-03-01,0.0,0.0,1778.4004274999998,0.0,0.0,0.0,
62,2023-03-01 15:00:00,2023,2023-03,3,15,9.7,9.7,0,32.23,2023-03-01,0.0,1778.4004274999998,88.92002137500003,57317.84577832498,0.0,0.0,
63,2023-03-01 16:00:00,2023,2023-03,3,16,0.7,0.7,0,31.22,2023-03-01,0.0,0.0,88.92002137500003,0.0,0.0,0.0,
64,2023-03-01 17:00:00,2023,2023-03,3,17,0.0,0.0,0,27.63,2023-03-01,0.0,0.0,88.92002137500003,0.0,0.0,0.0,
65,2023-03-01 18:00:00,2023,2023-03,3,18,0.0,0.0,0,28.46,2023-03-01,0.0,0.0,88.92002137500003,0.0,0.0,0.0,
66,2023-03-01 19:00:00,2023,2023-03,3,19,0.0,0.0,0,34.05,2023-03-01,0.0,88.92002137500003,4.446001068750007,3027.726727818751,0.0,0.0,
67,2023-03-01 20:00:00,2023,2023-03,3,20,0.0,0.0,0,31.86,2023-03-01,0.0,0.0,4.446001068750007,0.0,0.0,0.0,
68,2023-03-01 21:00:00,2023,2023-03,3,21,0.0,0.0,0,28.45,2023-03-01,0.0,0.0,4.446001068750007,0.0,0.0,0.0,
69,2023-03-01 22:00:00,2023,2023-03,3,22,0.0,0.0,0,32.0,2023-03-01,0.0,4.446001068750007,0.22230005343750037,142.27203420000023,0.0,0.0,
70,2023-03-01 23:00:00,2023,2023-03,3,23,0.0,0.0,0,56.42,2023-03-01,0.0,0.22230005343750037,0.01111500267187504,12.542169014943772,0.0,0.0,
